,title,Published,Likes,View,Comment,monthn
135,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,161,4007,43,Sep
136,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,731,11756,144,Sep
137,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,567,17877,89,Sep
138,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,790,17718,93,Aug
139,Why I'm Starting Data Science Over Again.,2020-08-29,2605,50690,450,Aug
140,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,624,15002,76,Aug
141,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,454,12678,55,Aug
142,Don't Buy My Course..,2020-08-21,358,7327,146,Aug
143,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,1112,29018,166,Aug
144,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,129,3222,40,Aug
145,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,538,6302,108,Aug
146,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,183,4945,39,Aug
147,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,372,11690,53,Aug
148,The Plagiarism Problem in Data Science,2020-08-07,630,13036,145,Aug
149,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,601,14342,89,Aug
150,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,187,4887,56,Aug
151,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,579,11316,90,Jul
152,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,116,2307,34,Jul
153,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,252,5574,112,Jul
154,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,247,8182,199,Jul
155,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,98,1851,27,Jul
156,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,562,28836,90,Jul
157,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,7113,317335,421,Jul
158,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,1124,30162,121,Jul
159,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,135,3614,50,Jul
160,The Best Computer for Data Science Beginners,2020-07-10,844,37284,157,Jul
161,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,229,6154,82,Jul
162,Critiquing MY OWN Data Science Resume,2020-07-06,396,12573,88,Jul
163,Where to Start Learning Data Science,2020-07-03,781,18622,126,Jul
164,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,197,4102,37,Jul
165,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,177,4565,52,Jun
166,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,547,16110,79,Jun
167,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,82,2401,40,Jun
168,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,139,2383,49,Jun
169,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,168,4328,46,Jun
170,Why You're Struggling to Learn Data Science,2020-06-12,1009,15213,159,Jun
171,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,354,11456,70,Jun
172,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,679,23529,146,Jun
173,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,155,5694,53,Jun
174,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,2152,69807,267,May
